연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2024,전체,221604,191550,17596,4954,628,6876
2024,서울,37356,31642,3337,841,120,1416
2024,부산울산,17584,15430,1343,363,43,405
2024,대구경북,20776,18201,1557,495,59,464
2024,경인,33978,29274,2654,770,89,1191
2024,광주전남,14568,12606,1187,297,36,442
2024,대전충남,17897,15617,1309,398,64,509
2024,강원,4211,3671,318,99,12,111
2024,충북,6964,5882,622,182,27,251
2024,전북,7933,6861,582,182,19,289
2024,경남,14262,12475,1054,353,42,338
2024,제주,3164,2727,268,77,5,87
2024,인천,24383,21172,1903,477,62,769
2024,경기북부,16273,14024,1311,367,46,525
2024,강원영동,2255,1968,151,53,4,79
