연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2021,전체,254361,211322,28781,6992,791,6475
2021,서울,41899,34570,4925,1104,148,1152
2021,부산울산,20096,16934,2097,569,59,437
2021,대구경북,24589,20596,2756,723,60,454
2021,경인,38253,31444,4274,1129,101,1305
2021,광주전남,17202,14092,1892,470,50,698
2021,대전충남,19773,16329,2402,539,83,420
2021,강원,4778,4027,541,100,17,93
2021,충북,7700,6595,797,183,20,105
2021,전북,10182,8175,1388,353,33,233
2021,경남,16591,14069,1671,424,47,380
2021,제주,3621,3026,406,96,9,84
2021,인천,28368,23760,3152,750,97,609
2021,경기북부,18622,15419,2181,489,60,473
2021,강원영동,2687,2286,299,63,7,32
