연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2023,전체,238604,199804,25869,5854,695,6382
2023,서울,40625,33095,4810,1039,131,1550
2023,부산울산,18755,15923,1842,438,45,507
2023,대구경북,22059,18643,2386,574,59,397
2023,경인,36040,30166,3901,869,105,999
2023,광주전남,15680,13122,1668,364,43,483
2023,대전충남,19435,16428,2056,497,64,390
2023,강원,4313,3652,425,108,10,118
2023,충북,7438,6185,834,191,28,200
2023,전북,8736,7251,1029,197,19,240
2023,경남,15741,13400,1583,395,46,317
2023,제주,3351,2776,374,78,11,112
2023,인천,26497,22363,2875,629,85,545
2023,경기북부,17459,14662,1865,417,42,473
2023,강원영동,2475,2138,221,58,7,51
