연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2025,전체,222425,192742,16778,4933,660,7312
2025,서울,37248,31704,2973,772,93,1706
2025,부산울산,17154,15166,1203,368,57,360
2025,대구경북,20594,18181,1460,479,61,413
2025,경인,34256,29546,2536,771,83,1320
2025,광주전남,14175,12348,1077,248,46,456
2025,대전충남,18614,16189,1364,533,68,460
2025,강원,3922,3424,263,72,10,153
2025,충북,6855,5845,593,174,18,225
2025,전북,8109,6979,731,176,26,197
2025,경남,14600,12751,1099,365,41,344
2025,제주,3191,2738,297,60,8,88
2025,인천,24976,21717,1865,519,87,788
2025,경기북부,16510,14241,1155,341,52,721
2025,강원영동,2221,1913,162,55,10,81
