연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2022,전체,248361,207508,26902,6316,722,6913
2022,서울,41703,34331,4654,1047,122,1549
2022,부산울산,19986,17004,2028,451,64,439
2022,대구경북,23626,20101,2447,588,67,423
2022,경인,37514,31389,4028,938,104,1055
2022,광주전남,17118,14138,1926,451,51,552
2022,대전충남,19417,15982,2362,531,59,483
2022,강원,4401,3735,463,94,17,92
2022,충북,7426,6254,749,197,21,205
2022,전북,8650,7062,989,240,22,337
2022,경남,16219,13651,1674,447,47,400
2022,제주,3479,2876,391,94,7,111
2022,인천,27870,23454,2892,763,88,673
2022,경기북부,18411,15329,2067,425,51,539
2022,강원영동,2541,2202,232,50,2,55
