연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2020,전체,282167,228982,37452,7654,857,7222
2020,서울,47289,37827,6749,1337,154,1222
2020,부산울산,23550,19242,3051,675,69,513
2020,대구경북,27583,22183,3898,728,71,703
2020,경인,41462,33399,5327,1184,128,1424
2020,광주전남,19770,15753,2659,565,66,727
2020,대전충남,21565,17814,2685,600,75,391
2020,강원,5417,4406,732,158,18,103
2020,충북,8802,7218,1245,244,16,79
2020,전북,9924,8164,1083,223,21,433
2020,경남,18914,15650,2338,469,61,396
2020,제주,3866,3120,504,107,13,122
2020,인천,30861,25278,4092,737,92,662
2020,경기북부,20132,16369,2717,555,72,419
2020,강원영동,3032,2559,372,72,1,28
